dataset,shift,classifier,model,accuracy,precision,recall,f1,auc
no softmax,0,finbert,rf,0.4879807692307692,0.4844559585492228,0.45169082125603865,0.4675,0.5021323070522156
no softmax,0,finbert,mlp,0.49759615384615385,0.49666666666666665,0.7198067632850241,0.5877712031558185,0.5100547812218292
no softmax,0,vader,logreg,0.5,0.4976851851851852,0.5193236714975845,0.508274231678487,0.5035365092573331
no softmax,0,vader,rf,0.4879807692307692,0.4842105263157895,0.4444444444444444,0.4634760705289673,0.5009650278528996
no softmax,0,vader,mlp,0.49278846153846156,0.48717948717948717,0.3671497584541063,0.418732782369146,0.4935106210849918
no softmax,0,roberta,logreg,0.49278846153846156,0.4891891891891892,0.43719806763285024,0.461734693877551,0.49994221390102395
no softmax,0,roberta,rf,0.5276442307692307,0.5278514588859416,0.4806763285024155,0.5031605562579013,0.5269109862931373
no softmax,0,roberta,mlp,0.5024038461538461,0.5,0.8043478260869565,0.6166666666666667,0.5307739870096849
no softmax,1,finbert,logreg,0.484375,0.47183098591549294,0.324455205811138,0.38450502152080346,0.48086358041456945
no softmax,1,finbert,rf,0.5108173076923077,0.5081967213114754,0.45036319612590797,0.47753530166880614,0.5143111409039163
no softmax,1,finbert,mlp,0.49038461538461536,0.48307692307692307,0.3801452784503632,0.4254742547425474,0.47730385386629065
no softmax,1,vader,logreg,0.49399038461538464,0.4888268156424581,0.423728813559322,0.45395590142671854,0.49119025467069644
no softmax,1,vader,rf,0.5264423076923077,0.5263157894736842,0.4600484261501211,0.4909560723514212,0.5300814229660149
no softmax,1,vader,mlp,0.484375,0.48840579710144927,0.8159806295399515,0.6110607434270172,0.49031188058735486
no softmax,1,roberta,logreg,0.5144230769230769,0.5096774193548387,0.5738498789346247,0.5398633257403189,0.49084930683571515
no softmax,1,roberta,rf,0.5252403846153846,0.5233160621761658,0.4891041162227603,0.5056320400500626,0.5177610706917773
no softmax,1,roberta,mlp,0.48677884615384615,0.4789156626506024,0.38498789346246975,0.4268456375838926,0.4768126578328431
no softmax,2,finbert,logreg,0.4963942307692308,0.48739495798319327,0.28087167070217917,0.3563748079877112,0.49420388680531874
no softmax,2,finbert,rf,0.5504807692307693,0.5506493506493506,0.513317191283293,0.531328320802005,0.559706322559767
no softmax,2,finbert,mlp,0.49278846153846156,0.48249027237354086,0.30024213075060535,0.3701492537313433,0.5040624801354545
no softmax,2,vader,logreg,0.49399038461538464,0.48333333333333334,0.28087167070217917,0.3552833078101072,0.49768848925436443
no softmax,2,vader,rf,0.5384615384615384,0.5382585751978892,0.4939467312348668,0.5151515151515151,0.5532023091992349
no softmax,2,vader,mlp,0.5204326923076923,0.5214723926380368,0.4116222760290557,0.46008119079837617,0.5101937623882529
no softmax,2,roberta,logreg,0.5048076923076923,0.5012853470437018,0.4721549636803874,0.486284289276808,0.5124994943570244
no softmax,2,roberta,rf,0.5516826923076923,0.5487804878048781,0.5447941888619855,0.5467800729040098,0.5514831230821684
no softmax,2,roberta,mlp,0.5168269230769231,0.5172413793103449,0.39951573849878935,0.45081967213114754,0.5292406109322901
no softmax,4,finbert,logreg,0.5096153846153846,0.5096774193548387,0.5683453237410072,0.5374149659863946,0.5174135390482795
no softmax,4,finbert,rf,0.5348557692307693,0.5362318840579711,0.5323741007194245,0.5342960288808665,0.5348530813903094
no softmax,4,finbert,mlp,0.5084134615384616,0.52,0.24940047961630696,0.3371150729335494,0.5155817514662968
no softmax,4,vader,logreg,0.5192307692307693,0.5174537987679672,0.60431654676259,0.5575221238938053,0.5173268614024443
no softmax,4,vader,rf,0.5372596153846154,0.5380952380952381,0.5419664268585132,0.5400238948626045,0.5464678859322181
no softmax,4,vader,mlp,0.49399038461538464,0.4965986394557823,0.7002398081534772,0.5810945273631841,0.507757649302245
no softmax,4,roberta,logreg,0.5216346153846154,0.5198329853862212,0.5971223021582733,0.5558035714285714,0.5285256132443443
no softmax,4,roberta,rf,0.5048076923076923,0.5056947608200456,0.5323741007194245,0.5186915887850467,0.5217358643205917
no softmax,4,roberta,mlp,0.5120192307692307,0.5082706766917293,0.8105515587529976,0.6247689463955638,0.5430181156279796
no softmax,7,finbert,logreg,0.4987980769230769,0.4966442953020134,0.5362318840579711,0.5156794425087108,0.4698616600790514
no softmax,7,finbert,rf,0.5360576923076923,0.5362694300518135,0.5,0.5175,0.5432615629984051
no softmax,7,finbert,mlp,0.4951923076923077,0.49584487534626037,0.8647342995169082,0.6302816901408451,0.49479058317731084
no softmax,7,vader,logreg,0.5048076923076923,0.5022222222222222,0.5458937198067633,0.5231481481481481,0.4830195548158934
no softmax,7,vader,rf,0.5444711538461539,0.5452196382428941,0.5096618357487923,0.5268414481897628,0.5429177357094978
no softmax,7,vader,mlp,0.5120192307692307,0.5098039215686274,0.5024154589371981,0.5060827250608273,0.504920486327809
no softmax,7,roberta,logreg,0.484375,0.4811083123425693,0.4613526570048309,0.47102342786683105,0.47444409772785057
no softmax,7,roberta,rf,0.5216346153846154,0.5213903743315508,0.47101449275362317,0.4949238578680203,0.5342873818274276
no softmax,7,roberta,mlp,0.4855769230769231,0.48284313725490197,0.4758454106280193,0.4793187347931874,0.4891506599172504
